orthogroup,assignment_status,protein_count,species_count
OG0000000,orthogroup,28,6
OG0000001,orthogroup,21,4
OG0000002,orthogroup,21,6
OG0000003,orthogroup,18,6
OG0000004,orthogroup,18,6
OG0000005,orthogroup,18,3
OG0000006,orthogroup,18,6
OG0000007,orthogroup,17,6
OG0000008,orthogroup,17,6
OG0000009,orthogroup,16,4
OG0000010,orthogroup,16,6
OG0000011,orthogroup,15,6
OG0000012,orthogroup,15,6
OG0000013,orthogroup,14,6
OG0000014,orthogroup,14,4
OG0000015,orthogroup,14,6
OG0000016,orthogroup,14,6
OG0000017,orthogroup,13,6
OG0000018,orthogroup,13,6
OG0000019,orthogroup,13,2
OG0000020,orthogroup,12,5
OG0000021,orthogroup,12,6
OG0000022,orthogroup,12,6
OG0000023,orthogroup,12,6
OG0000024,orthogroup,12,1
OG0000025,orthogroup,12,6
OG0000026,orthogroup,12,6
OG0000027,orthogroup,12,6
OG0000028,orthogroup,12,6
OG0000029,orthogroup,12,3
OG0000030,orthogroup,11,6
OG0000031,orthogroup,11,6
OG0000032,orthogroup,11,6
OG0000033,orthogroup,11,6
OG0000034,orthogroup,11,6
OG0000035,orthogroup,11,3
OG0000036,orthogroup,11,6
OG0000037,orthogroup,11,6
OG0000038,orthogroup,11,5
OG0000039,orthogroup,11,6
OG0000040,orthogroup,11,6
OG0000041,orthogroup,11,6
OG0000042,orthogroup,11,6
OG0000043,orthogroup,11,6
OG0000044,orthogroup,11,5
OG0000045,orthogroup,11,6
OG0000046,orthogroup,11,6
OG0000047,orthogroup,11,6
OG0000048,orthogroup,11,6
OG0000049,orthogroup,10,6
OG0000050,orthogroup,10,5
OG0000051,orthogroup,10,6
OG0000052,orthogroup,10,6
OG0000053,orthogroup,10,6
OG0000054,orthogroup,10,4
OG0000055,orthogroup,10,4
OG0000056,orthogroup,10,6
OG0000057,orthogroup,10,6
OG0000058,orthogroup,10,6
OG0000059,orthogroup,10,6
OG0000060,orthogroup,10,6
OG0000061,orthogroup,10,6
OG0000062,orthogroup,10,5
OG0000063,orthogroup,10,6
OG0000064,orthogroup,10,6
OG0000065,orthogroup,10,6
OG0000066,orthogroup,10,6
OG0000067,orthogroup,10,6
OG0000068,orthogroup,10,6
OG0000069,orthogroup,10,6
OG0000070,orthogroup,10,6
OG0000071,orthogroup,10,6
OG0000072,orthogroup,10,6
OG0000073,orthogroup,10,6
OG0000074,orthogroup,10,6
OG0000075,orthogroup,10,5
OG0000076,orthogroup,9,6
OG0000077,orthogroup,9,6
OG0000078,orthogroup,9,6
OG0000079,orthogroup,9,6
OG0000080,orthogroup,9,5
OG0000081,orthogroup,9,6
OG0000082,orthogroup,9,6
OG0000083,orthogroup,9,5
OG0000084,orthogroup,9,4
OG0000085,orthogroup,9,6
OG0000086,orthogroup,9,3
OG0000087,orthogroup,9,6
OG0000088,orthogroup,9,6
OG0000089,orthogroup,9,6
OG0000090,orthogroup,9,5
OG0000091,orthogroup,9,6
OG0000092,orthogroup,9,6
OG0000093,orthogroup,9,6
OG0000094,orthogroup,9,6
OG0000095,orthogroup,9,6
OG0000096,orthogroup,9,6
OG0000097,orthogroup,9,6
OG0000098,orthogroup,9,5
OG0000099,orthogroup,9,6
OG0000100,orthogroup,9,5
OG0000101,orthogroup,9,4
OG0000102,orthogroup,9,6
OG0000103,orthogroup,9,6
OG0000104,orthogroup,9,6
OG0000105,orthogroup,9,6
OG0000106,orthogroup,9,6
OG0000107,orthogroup,9,6
OG0000108,orthogroup,9,6
OG0000109,orthogroup,9,5
OG0000110,orthogroup,9,5
OG0000111,orthogroup,8,6
OG0000112,orthogroup,8,5
OG0000113,orthogroup,8,3
OG0000114,orthogroup,8,3
OG0000115,orthogroup,8,5
OG0000116,orthogroup,8,4
OG0000117,orthogroup,8,6
OG0000118,orthogroup,8,6
OG0000119,orthogroup,8,5
OG0000120,orthogroup,8,6
OG0000121,orthogroup,8,6
OG0000122,orthogroup,8,6
OG0000123,orthogroup,8,6
OG0000124,orthogroup,8,3
OG0000125,orthogroup,8,3
OG0000126,orthogroup,8,6
OG0000127,orthogroup,8,6
OG0000128,orthogroup,8,6
OG0000129,orthogroup,8,6
OG0000130,orthogroup,8,6
OG0000131,orthogroup,8,6
OG0000132,orthogroup,8,6
OG0000133,orthogroup,8,4
OG0000134,orthogroup,8,6
OG0000135,orthogroup,8,6
OG0000136,orthogroup,8,6
OG0000137,orthogroup,8,6
OG0000138,orthogroup,8,6
OG0000139,orthogroup,8,6
OG0000140,orthogroup,8,6
OG0000141,orthogroup,8,6
OG0000142,orthogroup,8,6
OG0000143,orthogroup,8,5
OG0000144,orthogroup,8,6
OG0000145,orthogroup,8,5
OG0000146,orthogroup,8,6
OG0000147,orthogroup,8,6
OG0000148,orthogroup,8,6
OG0000149,orthogroup,8,6
OG0000150,orthogroup,8,6
OG0000151,orthogroup,8,6
OG0000152,orthogroup,8,6
OG0000153,orthogroup,8,6
OG0000154,orthogroup,8,6
OG0000155,orthogroup,8,6
OG0000156,orthogroup,8,6
OG0000157,orthogroup,8,6
OG0000158,orthogroup,8,6
OG0000159,orthogroup,8,6
OG0000160,orthogroup,8,6
OG0000161,orthogroup,8,6
OG0000162,orthogroup,8,6
OG0000163,orthogroup,8,6
OG0000164,orthogroup,8,6
OG0000165,orthogroup,8,6
OG0000166,orthogroup,8,6
OG0000167,orthogroup,8,6
OG0000168,orthogroup,8,6
OG0000169,orthogroup,8,6
OG0000170,orthogroup,8,6
OG0000171,orthogroup,8,6
OG0000172,orthogroup,8,6
OG0000173,orthogroup,8,6
OG0000174,orthogroup,8,6
OG0000175,orthogroup,8,4
OG0000176,orthogroup,8,5
OG0000177,orthogroup,8,5
OG0000178,orthogroup,8,5
OG0000179,orthogroup,8,5
OG0000180,orthogroup,8,5
OG0000181,orthogroup,8,5
OG0000182,orthogroup,8,5
OG0000183,orthogroup,8,4
OG0000184,orthogroup,8,5
OG0000185,orthogroup,8,5
OG0000186,orthogroup,8,2
OG0000187,orthogroup,7,5
OG0000188,orthogroup,7,6
OG0000189,orthogroup,7,4
OG0000190,orthogroup,7,3
OG0000191,orthogroup,7,6
OG0000192,orthogroup,7,6
OG0000193,orthogroup,7,6
OG0000194,orthogroup,7,6
OG0000195,orthogroup,7,5
OG0000196,orthogroup,7,6
OG0000197,orthogroup,7,6
OG0000198,orthogroup,7,6
OG0000199,orthogroup,7,6
OG0000200,orthogroup,7,6
OG0000201,orthogroup,7,4
OG0000202,orthogroup,7,6
OG0000203,orthogroup,7,6
OG0000204,orthogroup,7,6
OG0000205,orthogroup,7,6
OG0000206,orthogroup,7,6
OG0000207,orthogroup,7,5
OG0000208,orthogroup,7,6
OG0000209,orthogroup,7,6
OG0000210,orthogroup,7,6
OG0000211,orthogroup,7,6
OG0000212,orthogroup,7,6
OG0000213,orthogroup,7,6
OG0000214,orthogroup,7,6
OG0000215,orthogroup,7,6
OG0000216,orthogroup,7,6
OG0000217,orthogroup,7,6
OG0000218,orthogroup,7,3
OG0000219,orthogroup,7,4
OG0000220,orthogroup,7,6
OG0000221,orthogroup,7,6
OG0000222,orthogroup,7,5
OG0000223,orthogroup,7,5
OG0000224,orthogroup,7,5
OG0000225,orthogroup,7,6
OG0000226,orthogroup,7,6
OG0000227,orthogroup,7,6
OG0000228,orthogroup,7,6
OG0000229,orthogroup,7,6
OG0000230,orthogroup,7,6
OG0000231,orthogroup,7,6
OG0000232,orthogroup,7,6
OG0000233,orthogroup,7,6
OG0000234,orthogroup,7,6
OG0000235,orthogroup,7,6
OG0000236,orthogroup,7,6
OG0000237,orthogroup,7,6
OG0000238,orthogroup,7,6
OG0000239,orthogroup,7,6
OG0000240,orthogroup,7,6
OG0000241,orthogroup,7,6
OG0000242,orthogroup,7,6
OG0000243,orthogroup,7,6
OG0000244,orthogroup,7,6
OG0000245,orthogroup,7,6
OG0000246,orthogroup,7,6
OG0000247,orthogroup,7,6
OG0000248,orthogroup,7,5
OG0000249,orthogroup,7,6
OG0000250,orthogroup,7,5
OG0000251,orthogroup,7,6
OG0000252,orthogroup,7,6
OG0000253,orthogroup,7,6
OG0000254,orthogroup,7,6
OG0000255,orthogroup,7,6
OG0000256,orthogroup,7,6
OG0000257,orthogroup,7,6
OG0000258,orthogroup,7,6
OG0000259,orthogroup,7,6
OG0000260,orthogroup,7,6
OG0000261,orthogroup,7,6
OG0000262,orthogroup,7,6
OG0000263,orthogroup,7,6
OG0000264,orthogroup,7,6
OG0000265,orthogroup,7,6
OG0000266,orthogroup,7,5
OG0000267,orthogroup,7,5
OG0000268,orthogroup,7,6
OG0000269,orthogroup,7,6
OG0000270,orthogroup,7,6
OG0000271,orthogroup,7,6
OG0000272,orthogroup,7,6
OG0000273,orthogroup,7,6
OG0000274,orthogroup,7,6
OG0000275,orthogroup,7,6
OG0000276,orthogroup,7,6
OG0000277,orthogroup,7,6
OG0000278,orthogroup,7,6
OG0000279,orthogroup,7,6
OG0000280,orthogroup,7,6
OG0000281,orthogroup,7,6
OG0000282,orthogroup,7,6
OG0000283,orthogroup,7,6
OG0000284,orthogroup,7,6
OG0000285,orthogroup,7,6
OG0000286,orthogroup,7,6
OG0000287,orthogroup,7,6
OG0000288,orthogroup,7,6
OG0000289,orthogroup,7,5
OG0000290,orthogroup,7,3
OG0000291,orthogroup,7,3
OG0000292,orthogroup,7,6
OG0000293,orthogroup,7,6
OG0000294,orthogroup,7,6
OG0000295,orthogroup,7,6
OG0000296,orthogroup,7,6
OG0000297,orthogroup,7,6
OG0000298,orthogroup,7,6
OG0000299,orthogroup,7,6
OG0000300,orthogroup,7,6
OG0000301,orthogroup,7,6
OG0000302,orthogroup,7,6
OG0000303,orthogroup,7,6
OG0000304,orthogroup,7,6
OG0000305,orthogroup,7,6
OG0000306,orthogroup,7,6
OG0000307,orthogroup,7,6
OG0000308,orthogroup,7,6
OG0000309,orthogroup,7,6
OG0000310,orthogroup,7,6
OG0000311,orthogroup,7,6
OG0000312,orthogroup,7,6
OG0000313,orthogroup,7,6
OG0000314,orthogroup,7,6
OG0000315,orthogroup,7,6
OG0000316,orthogroup,7,6
OG0000317,orthogroup,7,6
OG0000318,orthogroup,7,6
OG0000319,orthogroup,7,6
OG0000320,orthogroup,7,6
OG0000321,orthogroup,7,6
OG0000322,orthogroup,7,6
OG0000323,orthogroup,7,6
OG0000324,orthogroup,7,6
OG0000325,orthogroup,7,6
OG0000326,orthogroup,7,6
OG0000327,orthogroup,7,6
OG0000328,orthogroup,7,6
OG0000329,orthogroup,7,6
OG0000330,orthogroup,7,6
OG0000331,orthogroup,7,6
OG0000332,orthogroup,7,6
OG0000333,orthogroup,7,6
