accession,role,file,bytes,sha256,source_url,retrieved
GCF_000005845.2,ncbi_package_zip,ncbi_dataset.zip,7556107,4cd67e6e43bcb05da1c0d35d7c66f510408967cfa3afd25e50e14d3d5188794f,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,reference_fasta,reference.fna,4699745,53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,genbank_annotation,annotation.gbff,11450954,8a50dc9bc68b8d1b2222f022c086c6a177004692b7a0318a4e2225aacd190673,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,gff3_annotation,annotation.gff3,2314238,68d25735ccde6d37af68613dca57a588ae69423f0ecee99b0f29d596eff7accb,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,cds_fasta,cds.fna,5043083,a5efdd03ccf26b27d8319b4e8bcfdde1da7df1b2a4baaf3edd1431c21128a0cd,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,protein_fasta,protein.faa,1750878,9b8d21ea8ea5180bd9a96d7895dba9b5789002f43c6f421f2a7cdd1b141aa129,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,sequence_report,sequence_report.jsonl,311,72e2a49b98a6851372e4d37a4f7ca1869afd1c94e1d0d56436745ac94cbaf387,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,assembly_data_report,assembly_data_report.jsonl,2817,66fffd4cd1b2982ecbe17d6bbc9e02015cb9d168a7ee45b25b6f31fdfa33eb98,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_000005845.2,dataset_catalog,dataset_catalog.json,1145,4d69568d9f0f8eb05857ad3eb1801a0bae89f9ddc14b2f92a19e04f9e29d6d26,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000005845.2/,2026-09-13
GCF_003697165.2,ncbi_package_zip,ncbi_dataset.zip,8315953,ba5480e826fd72a26b7de2d24a68b3a4e7633ed69dcdba3f73d22f86c5c996cb,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,reference_fasta,reference.fna,5097965,17124ac56df45b547706ddb0b2a56274d893022f42fe445afb5a08e19eb874b1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,genbank_annotation,annotation.gbff,13129685,135ebf92f49579cd4ee94a593e43e89a0e7cfdf30fdf3d8d03c61a30e1f8af45,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,gff3_annotation,annotation.gff3,3038110,e34d7f5cb9e2981e23f1718948d9d47656bce403ef6a81eb437fdf483c654f8f,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,cds_fasta,cds.fna,5460349,9b7ec8be78c667d034154571f31bf8bd1a39a267b8e18967a75641032b67221c,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,protein_fasta,protein.faa,1836502,a6a06c6a6401caa860de46c7929235313e14110fa234f118e3a0a086102e9bed,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,sequence_report,sequence_report.jsonl,611,e3824d2ed89a62f40cada766023b18b60948f33fe514d66616f322b91249fb91,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,assembly_data_report,assembly_data_report.jsonl,4293,14ae26d55ef330811631fc60e4f5f90c57c487351a283b99bd566870613dd31d,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_003697165.2,dataset_catalog,dataset_catalog.json,1148,2fe49aa2e453b5804ca70473a4cd3ff087b3473d553b430ab73487b41598ceae,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003697165.2/,2026-09-13
GCF_036503815.1,ncbi_package_zip,ncbi_dataset.zip,8544008,09a6b4e46e51a155dec85eeb93d6d5bb40ae57c3c3854e0f93974744750c148c,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_036503815.1,reference_fasta,reference.fna,5265074,53abc0aaaa1d3d62c031ed7f40f4b1eea40e2c39776993427277049fb375bf7e,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_036503815.1,genbank_annotation,annotation.gbff,13454780,e238027976074afe0837121b3ae5a3342375daa8795a0294f74439c77902f1e6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
