orthogroup,assignment_status,accession,prepared_protein_id,source_protein_id,gene_id,gene_name,mapping_status
OG0000000,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_A.1,ALT_MM_A.1,alt_mm_a,alt_mm_a,mapped
OG0000000,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_B.1,ALT_MM_B.1,alt_mm_b,alt_mm_b,mapped
OG0000000,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_A.1,BASE_MM_A.1,base_mm_a,base_mm_a,mapped
OG0000000,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_B.1,BASE_MM_B.1,base_mm_b,base_mm_b,mapped
OG0000000,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_MM.1,OUT_MM.1,out_mm,out_mm,mapped
OG0000001,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_A.1,ALT_ONE_MANY_A.1,alt_one_many_a,alt_one_many_a,mapped
OG0000001,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_B.1,ALT_ONE_MANY_B.1,alt_one_many_b,alt_one_many_b,mapped
OG0000001,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE_MANY.1,BASE_ONE_MANY.1,base_one_many,base_one_many,mapped
OG0000001,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE_MANY.1,OUT_ONE_MANY.1,out_one_many,out_one_many,mapped
OG0000002,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_MANY.1,ALT_MANY.1,alt_many,alt_many,mapped
OG0000002,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_A.1,BASE_MANY_A.1,base_many_a,base_many_a,mapped
OG0000002,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_B.1,BASE_MANY_B.1,base_many_b,base_many_b,mapped
OG0000002,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_MANY.1,OUT_MANY.1,out_many,out_many,mapped
OG0000003,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE.1,ALT_ONE.1,alt_one,stable_symbol,mapped
OG0000003,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE.1,BASE_ONE.1,base_one,stable_symbol,mapped
OG0000003,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE.1,OUT_ONE.1,out_one,stable_symbol,mapped
OG0000004,orthogroup,CTRL_ALT.1,CTRL_ALT.1__ALT_NEW_NAME.1,ALT_NEW_NAME.1,alt_new_name,new_symbol,mapped
OG0000004,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_RENAMED.1,BASE_RENAMED.1,base_old_name,old_symbol,mapped
OG0000004,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_RENAMED.1,OUT_RENAMED.1,out_renamed,out_symbol,mapped
OG0000005,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MISSING_A.1,BASE_MISSING_A.1,base_missing_a,base_missing_a,mapped
OG0000005,orthogroup,CTRL_BASE.1,CTRL_BASE.1__BASE_MISSING_B.1,BASE_MISSING_B.1,base_missing_b,base_missing_b,mapped
OG0000005,orthogroup,CTRL_OUT.1,CTRL_OUT.1__OUT_MISSING.1,OUT_MISSING.1,out_missing,out_missing,mapped
OG0000006,unassigned,CTRL_ALT.1,CTRL_ALT.1__ALT_UNASSIGNED.1,ALT_UNASSIGNED.1,alt_unassigned,alt_unassigned,mapped
OG0000007,unassigned,CTRL_BASE.1,CTRL_BASE.1__BASE_UNASSIGNED.1,BASE_UNASSIGNED.1,base_unassigned,base_unassigned,mapped
