accession,species_key,source_protein_id,prepared_protein_id,gene_id,gene_name,feature_id,mapping_status
GCF_000005845.2,GCF_000005845.2,NP_414542.1,GCF_000005845.2__NP_414542.1,b0001,thrL,gene-b0001,mapped
GCF_000005845.2,GCF_000005845.2,NP_414543.1,GCF_000005845.2__NP_414543.1,b0002,thrA,gene-b0002,mapped
GCF_000005845.2,GCF_000005845.2,NP_414544.1,GCF_000005845.2__NP_414544.1,b0003,thrB,gene-b0003,mapped
GCF_000005845.2,GCF_000005845.2,NP_414545.1,GCF_000005845.2__NP_414545.1,b0004,thrC,gene-b0004,mapped
GCF_000005845.2,GCF_000005845.2,NP_414546.1,GCF_000005845.2__NP_414546.1,b0005,yaaX,gene-b0005,mapped
GCF_000005845.2,GCF_000005845.2,NP_414547.1,GCF_000005845.2__NP_414547.1,b0006,yaaA,gene-b0006,mapped
GCF_000005845.2,GCF_000005845.2,NP_414548.1,GCF_000005845.2__NP_414548.1,b0007,yaaJ,gene-b0007,mapped
GCF_000005845.2,GCF_000005845.2,NP_414549.1,GCF_000005845.2__NP_414549.1,b0008,talB,gene-b0008,mapped
GCF_000005845.2,GCF_000005845.2,NP_414550.1,GCF_000005845.2__NP_414550.1,b0009,mog,gene-b0009,mapped
GCF_000005845.2,GCF_000005845.2,NP_414551.1,GCF_000005845.2__NP_414551.1,b0010,satP,gene-b0010,mapped
GCF_000005845.2,GCF_000005845.2,NP_414552.1,GCF_000005845.2__NP_414552.1,b0011,yaaW,gene-b0011,mapped
GCF_000005845.2,GCF_000005845.2,NP_414554.1,GCF_000005845.2__NP_414554.1,b0013,yaaI,gene-b0013,mapped
GCF_000005845.2,GCF_000005845.2,NP_414555.1,GCF_000005845.2__NP_414555.1,b0014,dnaK,gene-b0014,mapped
GCF_000005845.2,GCF_000005845.2,NP_414556.1,GCF_000005845.2__NP_414556.1,b0015,dnaJ,gene-b0015,mapped
GCF_000005845.2,GCF_000005845.2,NP_414557.1,GCF_000005845.2__NP_414557.1,b0016,insL1,gene-b0016,mapped
GCF_000005845.2,GCF_000005845.2,NP_414559.1,GCF_000005845.2__NP_414559.1,b0018,mokC,gene-b0018,mapped
GCF_000005845.2,GCF_000005845.2,NP_414560.1,GCF_000005845.2__NP_414560.1,b0019,nhaA,gene-b0019,mapped
GCF_000005845.2,GCF_000005845.2,NP_414561.1,GCF_000005845.2__NP_414561.1,b0020,nhaR,gene-b0020,mapped
GCF_000005845.2,GCF_000005845.2,NP_414562.1,GCF_000005845.2__NP_414562.1,b0021,insB1,gene-b0021,mapped
GCF_000005845.2,GCF_000005845.2,NP_414563.1,GCF_000005845.2__NP_414563.1,b0022,insA1,gene-b0022,mapped
GCF_000005845.2,GCF_000005845.2,NP_414564.1,GCF_000005845.2__NP_414564.1,b0023,rpsT,gene-b0023,mapped
GCF_000005845.2,GCF_000005845.2,NP_414565.1,GCF_000005845.2__NP_414565.1,b0024,yaaY,gene-b0024,mapped
GCF_000005845.2,GCF_000005845.2,NP_414566.1,GCF_000005845.2__NP_414566.1,b0025,ribF,gene-b0025,mapped
GCF_000005845.2,GCF_000005845.2,NP_414567.1,GCF_000005845.2__NP_414567.1,b0026,ileS,gene-b0026,mapped
GCF_000005845.2,GCF_000005845.2,NP_414568.1,GCF_000005845.2__NP_414568.1,b0027,lspA,gene-b0027,mapped
GCF_000005845.2,GCF_000005845.2,NP_414569.1,GCF_000005845.2__NP_414569.1,b0028,fkpB,gene-b0028,mapped
GCF_000005845.2,GCF_000005845.2,NP_414570.1,GCF_000005845.2__NP_414570.1,b0029,ispH,gene-b0029,mapped
GCF_000005845.2,GCF_000005845.2,NP_414571.1,GCF_000005845.2__NP_414571.1,b0030,rihC,gene-b0030,mapped
GCF_000005845.2,GCF_000005845.2,NP_414572.1,GCF_000005845.2__NP_414572.1,b0031,dapB,gene-b0031,mapped
GCF_000005845.2,GCF_000005845.2,NP_414573.1,GCF_000005845.2__NP_414573.1,b0032,carA,gene-b0032,mapped
GCF_000005845.2,GCF_000005845.2,NP_414574.1,GCF_000005845.2__NP_414574.1,b0033,carB,gene-b0033,mapped
GCF_000005845.2,GCF_000005845.2,NP_414576.4,GCF_000005845.2__NP_414576.4,b0034,caiF,gene-b0034,mapped
GCF_000005845.2,GCF_000005845.2,NP_414577.2,GCF_000005845.2__NP_414577.2,b0035,caiE,gene-b0035,mapped
GCF_000005845.2,GCF_000005845.2,NP_414578.2,GCF_000005845.2__NP_414578.2,b0036,caiD,gene-b0036,mapped
GCF_000005845.2,GCF_000005845.2,NP_414579.4,GCF_000005845.2__NP_414579.4,b0037,caiC,gene-b0037,mapped
GCF_000005845.2,GCF_000005845.2,NP_414580.1,GCF_000005845.2__NP_414580.1,b0038,caiB,gene-b0038,mapped
GCF_000005845.2,GCF_000005845.2,NP_414581.1,GCF_000005845.2__NP_414581.1,b0039,caiA,gene-b0039,mapped
GCF_000005845.2,GCF_000005845.2,NP_414582.1,GCF_000005845.2__NP_414582.1,b0040,caiT,gene-b0040,mapped
GCF_000005845.2,GCF_000005845.2,NP_414583.2,GCF_000005845.2__NP_414583.2,b0041,fixA,gene-b0041,mapped
GCF_000005845.2,GCF_000005845.2,NP_414584.1,GCF_000005845.2__NP_414584.1,b0042,fixB,gene-b0042,mapped
GCF_000005845.2,GCF_000005845.2,NP_414585.1,GCF_000005845.2__NP_414585.1,b0043,fixC,gene-b0043,mapped
GCF_000005845.2,GCF_000005845.2,NP_414586.1,GCF_000005845.2__NP_414586.1,b0044,fixX,gene-b0044,mapped
GCF_000005845.2,GCF_000005845.2,NP_414587.1,GCF_000005845.2__NP_414587.1,b0045,yaaU,gene-b0045,mapped
GCF_000005845.2,GCF_000005845.2,NP_414588.1,GCF_000005845.2__NP_414588.1,b0046,kefF,gene-b0046,mapped
GCF_000005845.2,GCF_000005845.2,NP_414589.1,GCF_000005845.2__NP_414589.1,b0047,kefC,gene-b0047,mapped
GCF_000005845.2,GCF_000005845.2,NP_414590.1,GCF_000005845.2__NP_414590.1,b0048,folA,gene-b0048,mapped
GCF_000005845.2,GCF_000005845.2,NP_414591.1,GCF_000005845.2__NP_414591.1,b0049,apaH,gene-b0049,mapped
GCF_000005845.2,GCF_000005845.2,NP_414592.1,GCF_000005845.2__NP_414592.1,b0050,apaG,gene-b0050,mapped
GCF_000005845.2,GCF_000005845.2,NP_414593.1,GCF_000005845.2__NP_414593.1,b0051,rsmA,gene-b0051,mapped
GCF_000005845.2,GCF_000005845.2,NP_414594.1,GCF_000005845.2__NP_414594.1,b0052,pdxA,gene-b0052,mapped
GCF_000005845.2,GCF_000005845.2,NP_414595.1,GCF_000005845.2__NP_414595.1,b0053,surA,gene-b0053,mapped
GCF_000005845.2,GCF_000005845.2,NP_414596.1,GCF_000005845.2__NP_414596.1,b0054,lptD,gene-b0054,mapped
GCF_000005845.2,GCF_000005845.2,NP_414597.1,GCF_000005845.2__NP_414597.1,b0055,djlA,gene-b0055,mapped
GCF_000005845.2,GCF_000005845.2,NP_414600.1,GCF_000005845.2__NP_414600.1,b0058,rluA,gene-b0058,mapped
GCF_000005845.2,GCF_000005845.2,NP_414601.1,GCF_000005845.2__NP_414601.1,b0059,rapA,gene-b0059,mapped
GCF_000005845.2,GCF_000005845.2,NP_414602.1,GCF_000005845.2__NP_414602.1,b0060,polB,gene-b0060,mapped
GCF_000005845.2,GCF_000005845.2,NP_414603.1,GCF_000005845.2__NP_414603.1,b0061,araD,gene-b0061,mapped
GCF_000005845.2,GCF_000005845.2,NP_414604.1,GCF_000005845.2__NP_414604.1,b0062,araA,gene-b0062,mapped
GCF_000005845.2,GCF_000005845.2,NP_414605.1,GCF_000005845.2__NP_414605.1,b0063,araB,gene-b0063,mapped
GCF_000005845.2,GCF_000005845.2,NP_414606.1,GCF_000005845.2__NP_414606.1,b0064,araC,gene-b0064,mapped
GCF_000005845.2,GCF_000005845.2,NP_414607.1,GCF_000005845.2__NP_414607.1,b0065,yabI,gene-b0065,mapped
GCF_000005845.2,GCF_000005845.2,NP_414608.1,GCF_000005845.2__NP_414608.1,b0066,thiQ,gene-b0066,mapped
GCF_000005845.2,GCF_000005845.2,NP_414609.1,GCF_000005845.2__NP_414609.1,b0067,thiP,gene-b0067,mapped
GCF_000005845.2,GCF_000005845.2,NP_414610.1,GCF_000005845.2__NP_414610.1,b0068,thiB,gene-b0068,mapped
GCF_000005845.2,GCF_000005845.2,NP_414611.1,GCF_000005845.2__NP_414611.1,b0069,sgrR,gene-b0069,mapped
GCF_000005845.2,GCF_000005845.2,NP_414613.1,GCF_000005845.2__NP_414613.1,b0071,leuD,gene-b0071,mapped
GCF_000005845.2,GCF_000005845.2,NP_414614.1,GCF_000005845.2__NP_414614.1,b0072,leuC,gene-b0072,mapped
GCF_000005845.2,GCF_000005845.2,NP_414615.4,GCF_000005845.2__NP_414615.4,b0073,leuB,gene-b0073,mapped
GCF_000005845.2,GCF_000005845.2,NP_414616.1,GCF_000005845.2__NP_414616.1,b0074,leuA,gene-b0074,mapped
GCF_000005845.2,GCF_000005845.2,NP_414617.1,GCF_000005845.2__NP_414617.1,b0075,leuL,gene-b0075,mapped
GCF_000005845.2,GCF_000005845.2,NP_414618.4,GCF_000005845.2__NP_414618.4,b0076,leuO,gene-b0076,mapped
GCF_000005845.2,GCF_000005845.2,NP_414620.1,GCF_000005845.2__NP_414620.1,b0078,ilvH,gene-b0078,mapped
GCF_000005845.2,GCF_000005845.2,NP_414622.1,GCF_000005845.2__NP_414622.1,b0080,cra,gene-b0080,mapped
GCF_000005845.2,GCF_000005845.2,NP_414623.1,GCF_000005845.2__NP_414623.1,b0081,mraZ,gene-b0081,mapped
GCF_000005845.2,GCF_000005845.2,NP_414624.1,GCF_000005845.2__NP_414624.1,b0082,rsmH,gene-b0082,mapped
GCF_000005845.2,GCF_000005845.2,NP_414625.1,GCF_000005845.2__NP_414625.1,b0083,ftsL,gene-b0083,mapped
