accession,label,impact,variant_gene_count
GCF_000005845.2,MG1655 baseline,HIGH,56
GCF_000005845.2,MG1655 baseline,LOW,23033
GCF_000005845.2,MG1655 baseline,MODERATE,4345
GCF_000005845.2,MG1655 baseline,MODIFIER,595
GCF_000026225.1,ATCC 35469,HIGH,22
GCF_000026225.1,ATCC 35469,LOW,12058
GCF_000026225.1,ATCC 35469,MODERATE,1735
GCF_000026225.1,ATCC 35469,MODIFIER,3
GCF_002900365.1,HT073016,HIGH,42
GCF_002900365.1,HT073016,LOW,36594
GCF_002900365.1,HT073016,MODERATE,4052
GCF_002900365.1,HT073016,MODIFIER,162
GCF_003697165.2,DSM 30083 / ATCC 11775,HIGH,133
GCF_003697165.2,DSM 30083 / ATCC 11775,LOW,72689
GCF_003697165.2,DSM 30083 / ATCC 11775,MODERATE,11794
GCF_003697165.2,DSM 30083 / ATCC 11775,MODIFIER,8
GCF_005843885.1,E4742,HIGH,55
GCF_005843885.1,E4742,LOW,39811
GCF_005843885.1,E4742,MODERATE,4900
GCF_005843885.1,E4742,MODIFIER,1
GCF_036503815.1,2017-02-2CC,HIGH,146
GCF_036503815.1,2017-02-2CC,LOW,102044
GCF_036503815.1,2017-02-2CC,MODERATE,13247
GCF_036503815.1,2017-02-2CC,MODIFIER,17
