baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,relationship,baseline_family_gene_count,alternative_family_gene_count,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one
GCF_000005845.2,b0001,thrL,GCF_003697165.2,one_to_one,1,1,OG0000541,EAS44_RS20635,thrL,False
GCF_000005845.2,b0002,thrA,GCF_003697165.2,one_to_one,1,1,OG0000542,EAS44_RS20630,thrA,False
GCF_000005845.2,b0003,thrB,GCF_003697165.2,one_to_one,1,1,OG0000543,EAS44_RS20625,thrB,False
GCF_000005845.2,b0004,thrC,GCF_003697165.2,one_to_one,1,1,OG0000544,EAS44_RS20620,thrC,False
GCF_000005845.2,b0005,yaaX,GCF_003697165.2,one_to_one,1,1,OG0000426,EAS44_RS20615,EAS44_RS20615,True
GCF_000005845.2,b0006,yaaA,GCF_003697165.2,one_to_one,1,1,OG0000545,EAS44_RS20610,yaaA,False
GCF_000005845.2,b0007,yaaJ,GCF_003697165.2,one_to_one,1,1,OG0000546,EAS44_RS20605,yaaJ,False
GCF_000005845.2,b0008,talB,GCF_003697165.2,one_to_one,1,1,OG0000418,EAS44_RS20600,tal,True
GCF_000005845.2,b0009,mog,GCF_003697165.2,one_to_one,1,1,OG0000547,EAS44_RS20595,mog,False
GCF_000005845.2,b0010,satP,GCF_003697165.2,one_to_one,1,1,OG0000548,EAS44_RS20590,satP,False
GCF_000005845.2,b0011,yaaW,GCF_003697165.2,one_to_one,1,1,OG0003867,EAS44_RS20585,msyB,True
GCF_000005845.2,b0012,mbiA,GCF_003697165.2,no_ortholog,1,0,OG0006028,,,False
GCF_000005845.2,b0013,yaaI,GCF_003697165.2,one_to_one,1,1,OG0003555,EAS44_RS20580,yaaI,False
GCF_000005845.2,b0014,dnaK,GCF_003697165.2,one_to_one,1,1,OG0000549,EAS44_RS20575,dnaK,False
GCF_000005845.2,b0015,dnaJ,GCF_003697165.2,one_to_one,1,1,OG0000208,EAS44_RS20570,dnaJ,False
GCF_000005845.2,b0016,insL1,GCF_003697165.2,no_ortholog,1,0,OG0003556,,,False
GCF_000005845.2,b0018,mokC,GCF_003697165.2,no_ortholog,1,0,OG0005621,,,False
GCF_000005845.2,b4412,hokC,GCF_003697165.2,many_to_one,3,1,OG0000004,EAS44_RS20565,mokC,False
GCF_000005845.2,b4413,sokC,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0019,nhaA,GCF_003697165.2,one_to_one,1,1,OG0000550,EAS44_RS20545,nhaA,False
GCF_000005845.2,b0020,nhaR,GCF_003697165.2,one_to_one,1,1,OG0000551,EAS44_RS20540,nhaR,False
GCF_000005845.2,b0021,insB1,GCF_003697165.2,no_ortholog,1,0,OG0000001,,,False
GCF_000005845.2,b0022,insA1,GCF_003697165.2,many_to_one,8,1,OG0000001,EAS44_RS00665,EAS44_RS00665,False
GCF_000005845.2,b0023,rpsT,GCF_003697165.2,one_to_one,1,1,OG0000552,EAS44_RS20535,rpsT,False
GCF_000005845.2,b0024,yaaY,GCF_003697165.2,one_to_one,1,1,OG0003169,EAS44_RS20530,yaaY,False
GCF_000005845.2,b0025,ribF,GCF_003697165.2,one_to_one,1,1,OG0000553,EAS44_RS20525,ribF,False
GCF_000005845.2,b0026,ileS,GCF_003697165.2,one_to_one,1,1,OG0000554,EAS44_RS20520,ileS,False
GCF_000005845.2,b0027,lspA,GCF_003697165.2,one_to_one,1,1,OG0000555,EAS44_RS20515,lspA,False
GCF_000005845.2,b0028,fkpB,GCF_003697165.2,one_to_one,1,1,OG0000556,EAS44_RS20510,fkpB,False
GCF_000005845.2,b0029,ispH,GCF_003697165.2,one_to_one,1,1,OG0000557,EAS44_RS20505,ispH,False
GCF_000005845.2,b0030,rihC,GCF_003697165.2,one_to_one,1,1,OG0003170,EAS44_RS20500,rihC,False
GCF_000005845.2,b0031,dapB,GCF_003697165.2,one_to_one,1,1,OG0000558,EAS44_RS20490,dapB,False
GCF_000005845.2,b0032,carA,GCF_003697165.2,one_to_one,1,1,OG0000559,EAS44_RS20480,carA,False
GCF_000005845.2,b0033,carB,GCF_003697165.2,one_to_one,1,1,OG0000560,EAS44_RS20475,carB,False
GCF_000005845.2,b0034,caiF,GCF_003697165.2,one_to_one,1,1,OG0000209,EAS44_RS20450,caiF,False
GCF_000005845.2,b0035,caiE,GCF_003697165.2,one_to_one,1,1,OG0000561,EAS44_RS20445,caiE,False
GCF_000005845.2,b0036,caiD,GCF_003697165.2,one_to_one,1,1,OG0000562,EAS44_RS20440,caiD,False
GCF_000005845.2,b0037,caiC,GCF_003697165.2,one_to_one,1,1,OG0000563,EAS44_RS20435,caiC,False
GCF_000005845.2,b0038,caiB,GCF_003697165.2,one_to_one,1,1,OG0000564,EAS44_RS20430,caiB,False
GCF_000005845.2,b0039,caiA,GCF_003697165.2,one_to_one,1,1,OG0000565,EAS44_RS20425,caiA,False
GCF_000005845.2,b0040,caiT,GCF_003697165.2,one_to_one,1,1,OG0000566,EAS44_RS20420,caiT,False
GCF_000005845.2,b0041,fixA,GCF_003697165.2,one_to_one,1,1,OG0000567,EAS44_RS20415,fixA,False
GCF_000005845.2,b0042,fixB,GCF_003697165.2,one_to_one,1,1,OG0000568,EAS44_RS20410,fixB,False
GCF_000005845.2,b0043,fixC,GCF_003697165.2,many_to_one,2,1,OG0000052,EAS44_RS20405,fixC,False
GCF_000005845.2,b0044,fixX,GCF_003697165.2,many_to_one,2,1,OG0000053,EAS44_RS20400,fixX,False
GCF_000005845.2,b0045,yaaU,GCF_003697165.2,one_to_one,1,1,OG0000569,EAS44_RS20395,yaaU,False
GCF_000005845.2,b0046,kefF,GCF_003697165.2,one_to_one,1,1,OG0000570,EAS44_RS20390,kefF,False
GCF_000005845.2,b0047,kefC,GCF_003697165.2,one_to_one,1,1,OG0000571,EAS44_RS20385,kefC,False
GCF_000005845.2,b0048,folA,GCF_003697165.2,one_to_one,1,1,OG0000572,EAS44_RS20380,folA,False
GCF_000005845.2,b0049,apaH,GCF_003697165.2,one_to_one,1,1,OG0000573,EAS44_RS20365,apaH,False
GCF_000005845.2,b0050,apaG,GCF_003697165.2,one_to_one,1,1,OG0000574,EAS44_RS20360,apaG,False
GCF_000005845.2,b0051,rsmA,GCF_003697165.2,one_to_one,1,1,OG0000575,EAS44_RS20355,rsmA,False
GCF_000005845.2,b0052,pdxA,GCF_003697165.2,one_to_many,1,2,OG0000210,EAS44_RS17455;EAS44_RS20350,EAS44_RS17455;pdxA,False
GCF_000005845.2,b0053,surA,GCF_003697165.2,one_to_one,1,1,OG0000576,EAS44_RS20345,surA,False
GCF_000005845.2,b0054,lptD,GCF_003697165.2,one_to_one,1,1,OG0000577,EAS44_RS20340,lptD,False
GCF_000005845.2,b0055,djlA,GCF_003697165.2,one_to_one,1,1,OG0000578,EAS44_RS20335,djlA,False
GCF_000005845.2,b0056,yabP,GCF_003697165.2,no_ortholog,1,0,OG0004502,,,False
GCF_000005845.2,b0057,yabQ,GCF_003697165.2,no_ortholog,1,0,OG0005848,,,False
GCF_000005845.2,b0058,rluA,GCF_003697165.2,one_to_one,1,1,OG0000579,EAS44_RS20330,rluA,False
GCF_000005845.2,b0059,rapA,GCF_003697165.2,one_to_one,1,1,OG0000211,EAS44_RS20325,rapA,False
GCF_000005845.2,b0060,polB,GCF_003697165.2,one_to_one,1,1,OG0000580,EAS44_RS20320,polB,False
GCF_000005845.2,b0061,araD,GCF_003697165.2,one_to_one,1,1,OG0000395,EAS44_RS20315,araD,False
GCF_000005845.2,b0062,araA,GCF_003697165.2,one_to_one,1,1,OG0000581,EAS44_RS20310,araA,False
GCF_000005845.2,b0063,araB,GCF_003697165.2,one_to_one,1,1,OG0000582,EAS44_RS20305,araB,False
GCF_000005845.2,b0064,araC,GCF_003697165.2,one_to_one,1,1,OG0000583,EAS44_RS20300,araC,False
GCF_000005845.2,b0065,yabI,GCF_003697165.2,one_to_one,1,1,OG0000584,EAS44_RS20285,yabI,False
GCF_000005845.2,b0066,thiQ,GCF_003697165.2,one_to_one,1,1,OG0000585,EAS44_RS20280,thiQ,False
GCF_000005845.2,b0067,thiP,GCF_003697165.2,one_to_one,1,1,OG0000586,EAS44_RS20275,thiP,False
GCF_000005845.2,b0068,thiB,GCF_003697165.2,one_to_one,1,1,OG0000587,EAS44_RS20270,thiB,False
GCF_000005845.2,b4762,sroA,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0069,sgrR,GCF_003697165.2,one_to_one,1,1,OG0000588,EAS44_RS20265,sgrR,False
GCF_000005845.2,b4577,sgrS,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b4662,sgrT,GCF_003697165.2,one_to_one,1,1,OG0003434,EAS44_RS20260,sgrT,False
GCF_000005845.2,b0070,setA,GCF_003697165.2,no_ortholog,1,0,OG0004331,,,False
GCF_000005845.2,b0071,leuD,GCF_003697165.2,one_to_one,1,1,OG0000589,EAS44_RS20255,leuD,False
GCF_000005845.2,b0072,leuC,GCF_003697165.2,one_to_one,1,1,OG0000590,EAS44_RS20250,leuC,False
GCF_000005845.2,b0073,leuB,GCF_003697165.2,one_to_one,1,1,OG0000591,EAS44_RS20245,leuB,False
GCF_000005845.2,b0074,leuA,GCF_003697165.2,one_to_one,1,1,OG0000592,EAS44_RS20240,leuA,False
GCF_000005845.2,b0075,leuL,GCF_003697165.2,one_to_one,1,1,OG0000593,EAS44_RS20235,leuL,False
GCF_000005845.2,b0076,leuO,GCF_003697165.2,one_to_one,1,1,OG0000594,EAS44_RS20230,leuO,False
GCF_000005845.2,b4726,yabR,GCF_003697165.2,no_ortholog,1,0,OG0004503,,,False
GCF_000005845.2,b0077,ilvI,GCF_003697165.2,one_to_one,1,1,OG0003007,EAS44_RS20225,ilvI,False
GCF_000005845.2,b0078,ilvH,GCF_003697165.2,one_to_one,1,1,OG0000595,EAS44_RS20220,ilvN,True
GCF_000005845.2,b0080,cra,GCF_003697165.2,one_to_one,1,1,OG0000596,EAS44_RS20210,cra,False
GCF_000005845.2,b0081,mraZ,GCF_003697165.2,one_to_one,1,1,OG0000597,EAS44_RS20205,mraZ,False
GCF_000005845.2,b0082,rsmH,GCF_003697165.2,one_to_one,1,1,OG0000598,EAS44_RS20200,rsmH,False
GCF_000005845.2,b0083,ftsL,GCF_003697165.2,one_to_one,1,1,OG0000599,EAS44_RS20195,ftsL,False
GCF_000005845.2,b0084,ftsI,GCF_003697165.2,one_to_one,1,1,OG0000212,EAS44_RS20190,ftsI,False
GCF_000005845.2,b4810,ftsO,GCF_003697165.2,no_protein,1,0,,,,False
GCF_000005845.2,b0085,murE,GCF_003697165.2,one_to_one,1,1,OG0000600,EAS44_RS20185,murE,False
GCF_000005845.2,b0086,murF,GCF_003697165.2,one_to_one,1,1,OG0000601,EAS44_RS20180,murF,False
GCF_000005845.2,b0087,mraY,GCF_003697165.2,one_to_one,1,1,OG0000602,EAS44_RS20175,mraY,False
GCF_000005845.2,b0088,murD,GCF_003697165.2,one_to_one,1,1,OG0000603,EAS44_RS20170,murD,False
GCF_000005845.2,b0089,ftsW,GCF_003697165.2,one_to_one,1,1,OG0000604,EAS44_RS20165,ftsW,False
GCF_000005845.2,b0090,murG,GCF_003697165.2,one_to_one,1,1,OG0000605,EAS44_RS20160,murG,False
GCF_000005845.2,b0091,murC,GCF_003697165.2,one_to_one,1,1,OG0000606,EAS44_RS20155,murC,False
