baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,relationship,baseline_family_gene_count,alternative_family_gene_count,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one
CTRL_BASE.1,base_one,stable_symbol,CTRL_ALT.1,one_to_one,1,1,OG0000003,alt_one,stable_symbol,False
CTRL_BASE.1,base_old_name,old_symbol,CTRL_ALT.1,one_to_one,1,1,OG0000004,alt_new_name,new_symbol,True
CTRL_BASE.1,base_one_many,base_one_many,CTRL_ALT.1,one_to_many,1,2,OG0000001,alt_one_many_a;alt_one_many_b,alt_one_many_a;alt_one_many_b,False
CTRL_BASE.1,base_many_a,base_many_a,CTRL_ALT.1,many_to_one,2,1,OG0000002,alt_many,alt_many,False
CTRL_BASE.1,base_many_b,base_many_b,CTRL_ALT.1,many_to_one,2,1,OG0000002,alt_many,alt_many,False
CTRL_BASE.1,base_mm_a,base_mm_a,CTRL_ALT.1,many_to_many,2,2,OG0000000,alt_mm_a;alt_mm_b,alt_mm_a;alt_mm_b,False
CTRL_BASE.1,base_mm_b,base_mm_b,CTRL_ALT.1,many_to_many,2,2,OG0000000,alt_mm_a;alt_mm_b,alt_mm_a;alt_mm_b,False
CTRL_BASE.1,base_missing_a,base_missing_a,CTRL_ALT.1,no_ortholog,1,0,OG0000005,,,False
CTRL_BASE.1,base_missing_b,base_missing_b,CTRL_ALT.1,no_ortholog,1,0,OG0000005,,,False
CTRL_BASE.1,base_unassigned,base_unassigned,CTRL_ALT.1,no_ortholog,1,0,OG0000007,,,False
CTRL_BASE.1,base_no_protein,base_no_protein,CTRL_ALT.1,no_protein,1,0,,,,False
CTRL_BASE.1,base_one,stable_symbol,CTRL_OUT.1,one_to_one,1,1,OG0000003,out_one,stable_symbol,False
CTRL_BASE.1,base_old_name,old_symbol,CTRL_OUT.1,one_to_one,1,1,OG0000004,out_renamed,out_symbol,True
CTRL_BASE.1,base_one_many,base_one_many,CTRL_OUT.1,one_to_one,1,1,OG0000001,out_one_many,out_one_many,True
CTRL_BASE.1,base_many_a,base_many_a,CTRL_OUT.1,many_to_one,2,1,OG0000002,out_many,out_many,False
CTRL_BASE.1,base_many_b,base_many_b,CTRL_OUT.1,many_to_one,2,1,OG0000002,out_many,out_many,False
CTRL_BASE.1,base_mm_a,base_mm_a,CTRL_OUT.1,many_to_one,2,1,OG0000000,out_mm,out_mm,False
CTRL_BASE.1,base_mm_b,base_mm_b,CTRL_OUT.1,many_to_one,2,1,OG0000000,out_mm,out_mm,False
CTRL_BASE.1,base_missing_a,base_missing_a,CTRL_OUT.1,many_to_one,2,1,OG0000005,out_missing,out_missing,False
CTRL_BASE.1,base_missing_b,base_missing_b,CTRL_OUT.1,many_to_one,2,1,OG0000005,out_missing,out_missing,False
CTRL_BASE.1,base_unassigned,base_unassigned,CTRL_OUT.1,no_ortholog,1,0,OG0000007,,,False
CTRL_BASE.1,base_no_protein,base_no_protein,CTRL_OUT.1,no_protein,1,0,,,,False
