baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,alternative_label,project13_alternative_eligible,relationship,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one,comparison_status,comparable,baseline_callable_fraction,alternative_callable_fraction,baseline_callable_cds_bases,alternative_callable_cds_bases,baseline_distinct_variant_count,alternative_distinct_variant_count,baseline_high_impact_variants,alternative_high_impact_variants,baseline_variant_density_per_1000_callable_cds,alternative_variant_density_per_1000_callable_cds,alternative_minus_baseline_density,alternative_to_baseline_density_ratio,density_direction
GCF_000005845.2,b0001,thrL,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000541,EAS44_RS20635,thrL,False,comparable,True,1.0,1.0,66,66,0,0,0,0,0.0,0.0,0.0,,equal
GCF_000005845.2,b0002,thrA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000542,EAS44_RS20630,thrA,False,comparable,True,1.0,1.0,2463,2463,38,59,0,0,15.428339423467316,23.95452699959399,8.526187576126675,1.5526315789473686,higher_in_alternative
GCF_000005845.2,b0003,thrB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000543,EAS44_RS20625,thrB,False,comparable,True,1.0,1.0,933,933,14,13,0,0,15.005359056806002,13.933547695605574,-1.071811361200428,0.9285714285714286,lower_in_alternative
GCF_000005845.2,b0004,thrC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000544,EAS44_RS20620,thrC,False,comparable,True,1.0,1.0,1287,1287,12,20,0,0,9.324009324009324,15.54001554001554,6.216006216006216,1.6666666666666665,higher_in_alternative
GCF_000005845.2,b0005,yaaX,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000426,EAS44_RS20615,EAS44_RS20615,True,alternative_low_callability,False,1.0,0.8047138047138047,297,239,2,7,0,0,6.734006734006734,29.288702928870293,,,not_comparable
GCF_000005845.2,b0006,yaaA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000545,EAS44_RS20610,yaaA,False,comparable,True,1.0,1.0,777,777,6,15,0,0,7.722007722007722,19.305019305019304,11.583011583011583,2.5,higher_in_alternative
GCF_000005845.2,b0007,yaaJ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000546,EAS44_RS20605,yaaJ,False,comparable,True,1.0,1.0,1431,1431,25,22,0,0,17.470300489168412,15.373864430468204,-2.096436058700208,0.8800000000000001,lower_in_alternative
GCF_000005845.2,b0008,talB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000418,EAS44_RS20600,tal,True,comparable,True,1.0,1.0,954,954,4,11,0,0,4.1928721174004195,11.530398322851154,7.337526205450734,2.75,higher_in_alternative
GCF_000005845.2,b0009,mog,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000547,EAS44_RS20595,mog,False,comparable,True,1.0,1.0,588,588,7,11,0,0,11.904761904761905,18.707482993197278,6.802721088435373,1.5714285714285714,higher_in_alternative
GCF_000005845.2,b0010,satP,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000548,EAS44_RS20590,satP,False,comparable,True,1.0,1.0,567,567,6,12,0,0,10.582010582010582,21.164021164021165,10.582010582010582,2.0,higher_in_alternative
