orthogroup,accession_a,protein_a,gene_a,accession_b,protein_b,gene_b
OG0000000,GCF_000005845.2,GCF_000005845.2__NP_416021.1,b1504,GCF_003697165.2,GCF_003697165.2__WP_000876778.1,EAS44_RS13070
OG0000000,GCF_000005845.2,GCF_000005845.2__NP_418734.1,b4314,GCF_003697165.2,GCF_003697165.2__WP_000695589.1,EAS44_RS21120
OG0000000,GCF_000005845.2,GCF_000005845.2__NP_418734.1,b4314,GCF_003697165.2,GCF_003697165.2__WP_001296074.1,EAS44_RS13055
OG0000000,GCF_000005845.2,GCF_000005845.2__NP_418735.2,b4315,GCF_003697165.2,GCF_003697165.2__WP_025893910.1,EAS44_RS21115
OG0000000,GCF_000005845.2,GCF_000005845.2__NP_418738.1,b4318,GCF_003697165.2,GCF_003697165.2__WP_001244823.1,EAS44_RS21100
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414562.1,b0021,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414563.1,b0022,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414563.1,b0022,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414798.1,b0264,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414799.1,b0265,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414799.1,b0265,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414808.1,b0274,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414809.1,b0275,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_414809.1,b0275,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_415508.1,b0988,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_416407.1,b1893,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_416408.1,b1894,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_416408.1,b1894,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_417901.1,b3444,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_417901.1,b3444,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_417902.1,b3445,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_418714.1,b4294,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__NP_418714.1,b4294,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__YP_009518739.1,b4710,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__YP_009518740.1,b4709,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__YP_009518740.1,b4709,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000001,GCF_000005845.2,GCF_000005845.2__YP_588445.1,b4516,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,
OG0000001,GCF_000005845.2,GCF_000005845.2__YP_588445.1,b4516,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,EAS44_RS00665
OG0000002,GCF_000005845.2,GCF_000005845.2__NP_416287.1,b1773,GCF_003697165.2,GCF_003697165.2__WP_000878877.1,EAS44_RS11870
OG0000002,GCF_000005845.2,GCF_000005845.2__NP_416599.2,b2096,GCF_003697165.2,GCF_003697165.2__WP_000275539.1,EAS44_RS03175
OG0000002,GCF_000005845.2,GCF_000005845.2__NP_416599.2,b2096,GCF_003697165.2,GCF_003697165.2__WP_000289810.1,EAS44_RS09815
OG0000002,GCF_000005845.2,GCF_000005845.2__NP_417606.1,b3137,GCF_003697165.2,GCF_003697165.2__WP_000022766.1,EAS44_RS03740
OG0000003,GCF_000005845.2,GCF_000005845.2__NP_415460.1,b0940,GCF_003697165.2,GCF_003697165.2__WP_001049762.1,EAS44_RS02300
OG0000003,GCF_000005845.2,GCF_000005845.2__NP_418737.1,b4317,GCF_003697165.2,GCF_003697165.2__WP_000120948.1,EAS44_RS21105
OG0000003,GCF_000005845.2,GCF_000005845.2__YP_009518785.1,b1505,GCF_003697165.2,GCF_003697165.2__WP_001350647.1,EAS44_RS13065
OG0000004,GCF_000005845.2,GCF_000005845.2__NP_416080.1,b1562,GCF_003697165.2,GCF_003697165.2__WP_000813256.1,EAS44_RS14280
OG0000004,GCF_000005845.2,GCF_000005845.2__YP_025292.1,b4412,GCF_003697165.2,GCF_003697165.2__WP_000809168.1,EAS44_RS20565
OG0000004,GCF_000005845.2,GCF_000005845.2__YP_025301.1,b4428,GCF_003697165.2,GCF_003697165.2__WP_223195199.1,EAS44_RS00535
OG0000006,GCF_000005845.2,GCF_000005845.2__YP_025297.1,b4419,GCF_003697165.2,GCF_003697165.2__WP_000170954.1,EAS44_RS14580
OG0000006,GCF_000005845.2,GCF_000005845.2__YP_025298.1,b4421,GCF_003697165.2,GCF_003697165.2__WP_000170954.1,EAS44_RS14580
OG0000006,GCF_000005845.2,GCF_000005845.2__YP_025299.1,b4423,GCF_003697165.2,GCF_003697165.2__WP_000170954.1,EAS44_RS14580
OG0000006,GCF_000005845.2,GCF_000005845.2__YP_026227.1,b4453,GCF_003697165.2,GCF_003697165.2__WP_000170745.1,EAS44_RS01640
OG0000007,GCF_000005845.2,GCF_000005845.2__NP_416133.1,b1616,GCF_003697165.2,GCF_003697165.2__WP_001075831.1,EAS44_RS12670
OG0000007,GCF_000005845.2,GCF_000005845.2__NP_418114.4,b3657,GCF_003697165.2,GCF_003697165.2__WP_000834420.1,EAS44_RS01020
OG0000008,GCF_000005845.2,GCF_000005845.2__NP_416226.1,b1711,GCF_003697165.2,GCF_003697165.2__WP_000956528.1,EAS44_RS12175
OG0000008,GCF_000005845.2,GCF_000005845.2__NP_418708.1,b4288,GCF_003697165.2,GCF_003697165.2__WP_000684856.1,EAS44_RS21480
OG0000008,GCF_000005845.2,GCF_000005845.2__NP_418708.1,b4288,GCF_003697165.2,GCF_003697165.2__WP_000986428.1,EAS44_RS04260
OG0000010,GCF_000005845.2,GCF_000005845.2__NP_418486.1,b4062,GCF_003697165.2,GCF_003697165.2__WP_000019358.1,EAS44_RS23005
OG0000011,GCF_000005845.2,GCF_000005845.2__NP_415844.1,b1328,GCF_003697165.2,GCF_003697165.2__WP_000817701.1,EAS44_RS13665
OG0000011,GCF_000005845.2,GCF_000005845.2__YP_009518746.1,b0282,GCF_003697165.2,GCF_003697165.2__WP_001304867.1,EAS44_RS19150
OG0000012,GCF_000005845.2,GCF_000005845.2__NP_415891.1,b1373,GCF_003697165.2,GCF_003697165.2__WP_000885580.1,EAS44_RS14070
OG0000012,GCF_000005845.2,GCF_000005845.2__NP_416064.1,b1546,GCF_003697165.2,GCF_003697165.2__WP_000885580.1,EAS44_RS14070
OG0000012,GCF_000005845.2,GCF_000005845.2__YP_009518755.1,b0561,GCF_003697165.2,GCF_003697165.2__WP_000885580.1,EAS44_RS14070
OG0000012,GCF_000005845.2,GCF_000005845.2__YP_009518756.1,b0563,GCF_003697165.2,GCF_003697165.2__WP_000885580.1,EAS44_RS14070
OG0000013,GCF_000005845.2,GCF_000005845.2__NP_414802.2,b0268,GCF_003697165.2,GCF_003697165.2__WP_000714563.1,EAS44_RS21220
OG0000013,GCF_000005845.2,GCF_000005845.2__NP_416973.1,b2478,GCF_003697165.2,GCF_003697165.2__WP_001295469.1,EAS44_RS07730
OG0000013,GCF_000005845.2,GCF_000005845.2__NP_418718.4,b4298,GCF_003697165.2,GCF_003697165.2__WP_000714563.1,EAS44_RS21220
