accession,feature_type,count
GCF_000005845.2,CDS,4340
GCF_000005845.2,exon,216
GCF_000005845.2,gene,4506
GCF_000005845.2,mobile_genetic_element,50
GCF_000005845.2,ncRNA,108
GCF_000005845.2,origin_of_replication,1
GCF_000005845.2,pseudogene,145
GCF_000005845.2,rRNA,22
GCF_000005845.2,region,1
GCF_000005845.2,sequence_feature,48
GCF_000005845.2,tRNA,86
GCF_003697165.2,CDS,4834
GCF_003697165.2,RNase_P_RNA,1
GCF_003697165.2,SRP_RNA,1
GCF_003697165.2,antisense_RNA,1
GCF_003697165.2,direct_repeat,2
GCF_003697165.2,exon,115
GCF_003697165.2,gene,4736
GCF_003697165.2,ncRNA,2
GCF_003697165.2,pseudogene,202
GCF_003697165.2,rRNA,22
GCF_003697165.2,region,2
GCF_003697165.2,riboswitch,7
GCF_003697165.2,sequence_feature,9
GCF_003697165.2,tRNA,87
GCF_003697165.2,tmRNA,1
GCF_036503815.1,CDS,4871
GCF_036503815.1,RNase_P_RNA,1
GCF_036503815.1,SRP_RNA,1
GCF_036503815.1,antisense_RNA,1
GCF_036503815.1,direct_repeat,1
GCF_036503815.1,exon,124
GCF_036503815.1,gene,4852
GCF_036503815.1,ncRNA,6
GCF_036503815.1,pseudogene,140
GCF_036503815.1,rRNA,22
GCF_036503815.1,region,5
GCF_036503815.1,riboswitch,7
GCF_036503815.1,sequence_feature,7
GCF_036503815.1,tRNA,92
GCF_036503815.1,tmRNA,1
GCF_005843885.1,CDS,4875
GCF_005843885.1,RNase_P_RNA,1
GCF_005843885.1,SRP_RNA,1
GCF_005843885.1,antisense_RNA,1
GCF_005843885.1,direct_repeat,5
GCF_005843885.1,exon,129
GCF_005843885.1,gene,4838
GCF_005843885.1,ncRNA,8
GCF_005843885.1,pseudogene,164
GCF_005843885.1,rRNA,22
GCF_005843885.1,region,1
GCF_005843885.1,riboswitch,7
GCF_005843885.1,sequence_feature,7
GCF_005843885.1,tRNA,95
GCF_005843885.1,tmRNA,1
GCF_000026225.1,CDS,4367
GCF_000026225.1,RNase_P_RNA,1
GCF_000026225.1,SRP_RNA,1
GCF_000026225.1,antisense_RNA,1
GCF_000026225.1,direct_repeat,2
GCF_000026225.1,exon,115
GCF_000026225.1,gene,4395
GCF_000026225.1,ncRNA,3
GCF_000026225.1,pseudogene,82
GCF_000026225.1,rRNA,22
GCF_000026225.1,region,2
GCF_000026225.1,riboswitch,7
GCF_000026225.1,sequence_feature,7
GCF_000026225.1,tRNA,86
GCF_000026225.1,tmRNA,1
GCF_002900365.1,CDS,4707
GCF_002900365.1,RNase_P_RNA,1
GCF_002900365.1,SRP_RNA,1
GCF_002900365.1,antisense_RNA,1
GCF_002900365.1,exon,111
GCF_002900365.1,gene,4473
GCF_002900365.1,ncRNA,2
GCF_002900365.1,pseudogene,326
GCF_002900365.1,rRNA,21
GCF_002900365.1,region,3
GCF_002900365.1,riboswitch,7
GCF_002900365.1,sequence_feature,7
GCF_002900365.1,tRNA,84
GCF_002900365.1,tmRNA,1
