alternative_accession,relationship,gene_count
GCF_000026225.1,many_to_many,11
GCF_000026225.1,many_to_one,207
GCF_000026225.1,no_ortholog,818
GCF_000026225.1,no_protein,361
GCF_000026225.1,one_to_many,91
GCF_000026225.1,one_to_one,3163
GCF_002900365.1,many_to_many,15
GCF_002900365.1,many_to_one,162
GCF_002900365.1,no_ortholog,859
GCF_002900365.1,no_protein,361
GCF_002900365.1,one_to_many,31
GCF_002900365.1,one_to_one,3223
GCF_003697165.2,many_to_many,14
GCF_003697165.2,many_to_one,195
GCF_003697165.2,no_ortholog,558
GCF_003697165.2,no_protein,361
GCF_003697165.2,one_to_many,80
GCF_003697165.2,one_to_one,3443
GCF_005843885.1,many_to_many,20
GCF_005843885.1,many_to_one,136
GCF_005843885.1,no_ortholog,724
GCF_005843885.1,no_protein,361
GCF_005843885.1,one_to_many,64
GCF_005843885.1,one_to_one,3346
GCF_036503815.1,many_to_many,20
GCF_036503815.1,many_to_one,167
GCF_036503815.1,no_ortholog,525
GCF_036503815.1,no_protein,361
GCF_036503815.1,one_to_many,86
GCF_036503815.1,one_to_one,3492
