accession,label,role,project13_eligible,gene_id,gene_name,feature_type,gene_biotype,contig,strand,cds_bases,callable_cds_bases,callable_fraction,meets_callable_threshold,distinct_variant_count,high_impact_variants,moderate_impact_variants,low_impact_variants,modifier_impact_variants,warning_variant_count,variant_density_per_1000_callable_cds,consequence_profile
GCF_000005845.2,MG1655 baseline,baseline,True,b0001,thrL,gene,protein_coding,NC_000913.3,+,66,66,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0002,thrA,gene,protein_coding,NC_000913.3,+,2463,2463,1.0,True,38,0,3,35,0,0,15.428339423467316,missense_variant:3;synonymous_variant:35
GCF_000005845.2,MG1655 baseline,baseline,True,b0003,thrB,gene,protein_coding,NC_000913.3,+,933,933,1.0,True,14,0,1,13,0,0,15.005359056806002,missense_variant:1;synonymous_variant:13
GCF_000005845.2,MG1655 baseline,baseline,True,b0004,thrC,gene,protein_coding,NC_000913.3,+,1287,1287,1.0,True,12,0,1,11,0,0,9.324009324009324,missense_variant:1;synonymous_variant:11
GCF_000005845.2,MG1655 baseline,baseline,True,b0005,yaaX,gene,protein_coding,NC_000913.3,+,297,297,1.0,True,2,0,1,1,0,0,6.734006734006734,initiator_codon_variant:1;missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0006,yaaA,gene,protein_coding,NC_000913.3,-,777,777,1.0,True,6,0,2,4,0,0,7.722007722007722,missense_variant:2;synonymous_variant:4
GCF_000005845.2,MG1655 baseline,baseline,True,b0007,yaaJ,gene,protein_coding,NC_000913.3,-,1431,1431,1.0,True,25,0,3,22,0,0,17.470300489168412,missense_variant:3;synonymous_variant:22
GCF_000005845.2,MG1655 baseline,baseline,True,b0008,talB,gene,protein_coding,NC_000913.3,+,954,954,1.0,True,4,0,1,3,0,0,4.1928721174004195,missense_variant:1;synonymous_variant:3
GCF_000005845.2,MG1655 baseline,baseline,True,b0009,mog,gene,protein_coding,NC_000913.3,+,588,588,1.0,True,7,0,1,6,0,0,11.904761904761905,missense_variant:1;synonymous_variant:6
GCF_000005845.2,MG1655 baseline,baseline,True,b0010,satP,gene,protein_coding,NC_000913.3,-,567,567,1.0,True,6,0,0,6,0,0,10.582010582010582,synonymous_variant:6
GCF_000005845.2,MG1655 baseline,baseline,True,b0011,yaaW,gene,protein_coding,NC_000913.3,-,714,714,1.0,True,16,0,2,14,0,0,22.408963585434172,missense_variant:2;synonymous_variant:14
GCF_000005845.2,MG1655 baseline,baseline,True,b0012,mbiA,gene,protein_coding,NC_000913.3,+,486,486,1.0,True,8,0,1,7,0,0,16.46090534979424,missense_variant:1;synonymous_variant:7
GCF_000005845.2,MG1655 baseline,baseline,True,b0013,yaaI,gene,protein_coding,NC_000913.3,-,405,405,1.0,True,4,0,1,3,0,0,9.876543209876543,missense_variant:1;synonymous_variant:3
GCF_000005845.2,MG1655 baseline,baseline,True,b0014,dnaK,gene,protein_coding,NC_000913.3,+,1917,1917,1.0,True,14,0,0,14,0,0,7.303077725612937,synonymous_variant:14
