accession,label,consequence,variant_gene_count
GCF_000005845.2,MG1655 baseline,conservative_inframe_deletion,1
GCF_000005845.2,MG1655 baseline,conservative_inframe_insertion,2
GCF_000005845.2,MG1655 baseline,disruptive_inframe_deletion,1
GCF_000005845.2,MG1655 baseline,disruptive_inframe_insertion,6
GCF_000005845.2,MG1655 baseline,frameshift_variant,21
GCF_000005845.2,MG1655 baseline,frameshift_variant&splice_region_variant,2
GCF_000005845.2,MG1655 baseline,frameshift_variant&stop_gained,1
GCF_000005845.2,MG1655 baseline,initiator_codon_variant,5
GCF_000005845.2,MG1655 baseline,intragenic_variant,595
GCF_000005845.2,MG1655 baseline,missense_variant,4335
GCF_000005845.2,MG1655 baseline,splice_region_variant&stop_retained_variant,17
GCF_000005845.2,MG1655 baseline,start_lost,2
GCF_000005845.2,MG1655 baseline,stop_gained,25
GCF_000005845.2,MG1655 baseline,stop_lost&splice_region_variant,5
GCF_000005845.2,MG1655 baseline,synonymous_variant,23011
GCF_000026225.1,ATCC 35469,conservative_inframe_deletion,1
GCF_000026225.1,ATCC 35469,conservative_inframe_insertion,2
GCF_000026225.1,ATCC 35469,disruptive_inframe_deletion,2
GCF_000026225.1,ATCC 35469,disruptive_inframe_insertion,1
GCF_000026225.1,ATCC 35469,disruptive_inframe_insertion&splice_region_variant,1
GCF_000026225.1,ATCC 35469,frameshift_variant,3
GCF_000026225.1,ATCC 35469,initiator_codon_variant,3
GCF_000026225.1,ATCC 35469,intragenic_variant,3
GCF_000026225.1,ATCC 35469,missense_variant,1727
GCF_000026225.1,ATCC 35469,missense_variant&splice_region_variant,1
GCF_000026225.1,ATCC 35469,splice_region_variant&stop_retained_variant,8
GCF_000026225.1,ATCC 35469,stop_gained,13
GCF_000026225.1,ATCC 35469,stop_lost,2
GCF_000026225.1,ATCC 35469,stop_lost&splice_region_variant,4
GCF_000026225.1,ATCC 35469,synonymous_variant,12047
GCF_002900365.1,HT073016,conservative_inframe_deletion,3
GCF_002900365.1,HT073016,conservative_inframe_insertion,3
