orthogroup,assignment_status,accession,prepared_protein_id,source_protein_id,gene_id,gene_name,mapping_status
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415063.4,NP_415063.4,b0530,sfmA,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415067.1,NP_415067.1,b0534,sfmF,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415463.2,NP_415463.2,b0943,ycbV,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416021.1,NP_416021.1,b1504,ydeS,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418734.1,NP_418734.1,b4314,fimA,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418735.2,NP_418735.2,b4315,fimI,mapped
OG0000000,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418738.1,NP_418738.1,b4318,fimF,mapped
OG0000000,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_000199135.1,WP_000199135.1,EFER_RS17075,EFER_RS17075,mapped
OG0000000,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000199134.1,WP_000199134.1,C1192_RS15030,C1192_RS15030,mapped
OG0000000,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000831509.1,WP_000831509.1,C1192_RS13405,fimI,mapped
OG0000000,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_000837649.1,WP_000837649.1,C1192_RS13390,fimF,mapped
OG0000000,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354430.1,WP_038354430.1,C1192_RS06765,C1192_RS06765,mapped
OG0000000,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_038354896.1,WP_038354896.1,C1192_RS13410,fimA,mapped
OG0000000,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000695589.1,WP_000695589.1,EAS44_RS21120,fimA,mapped
OG0000000,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_000876778.1,WP_000876778.1,EAS44_RS13070,ydeS,mapped
OG0000000,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001244823.1,WP_001244823.1,EAS44_RS21100,fimF,mapped
OG0000000,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_001296074.1,WP_001296074.1,EAS44_RS13055,fimA,mapped
OG0000000,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_025893910.1,WP_025893910.1,EAS44_RS21115,fimI,mapped
OG0000000,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135522894.1,WP_135522894.1,FEM44_RS19290,FEM44_RS19290,mapped
OG0000000,orthogroup,GCF_005843885.1,GCF_005843885.1__WP_135523357.1,WP_135523357.1,FEM44_RS10035,FEM44_RS10035,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000682252.1,WP_000682252.1,AABJ99_RS12345,ydeS,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000776555.1,WP_000776555.1,AABJ99_RS17085,fimA,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000824095.1,WP_000824095.1,AABJ99_RS20705,fimI,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_000827822.1,WP_000827822.1,AABJ99_RS23660,lpfA-O113,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_024218640.1,WP_024218640.1,AABJ99_RS12330,fimA,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039020421.1,WP_039020421.1,AABJ99_RS20690,fimF,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039020423.1,WP_039020423.1,AABJ99_RS20710,fimA,mapped
OG0000000,orthogroup,GCF_036503815.1,GCF_036503815.1__WP_039021582.1,WP_039021582.1,AABJ99_RS17065,sfmF,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414562.1,NP_414562.1,b0021,insB1,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414563.1,NP_414563.1,b0022,insA1,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414798.1,NP_414798.1,b0264,insB2,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414799.1,NP_414799.1,b0265,insA2,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414808.1,NP_414808.1,b0274,insB3,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_414809.1,NP_414809.1,b0275,insA3,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_415508.1,NP_415508.1,b0988,insB4,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416407.1,NP_416407.1,b1893,insB5,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416408.1,NP_416408.1,b1894,insA5,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_417901.1,NP_417901.1,b3444,insA6,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_417902.1,NP_417902.1,b3445,insB6,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_418714.1,NP_418714.1,b4294,insA7,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_009518739.1,YP_009518739.1,b4710,insB9,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_009518740.1,YP_009518740.1,b4709,insA9,mapped
OG0000001,orthogroup,GCF_000005845.2,GCF_000005845.2__YP_588445.1,YP_588445.1,b4516,insA4,mapped
OG0000001,orthogroup,GCF_000026225.1,GCF_000026225.1__WP_223229472.1,WP_223229472.1,EFER_RS00045,EFER_RS00045,mapped
OG0000001,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194758.1,WP_103194758.1,,,ambiguous_gene
OG0000001,orthogroup,GCF_002900365.1,GCF_002900365.1__WP_103194850.1,WP_103194850.1,C1192_RS26160,C1192_RS26160,mapped
OG0000001,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_094096600.1,WP_094096600.1,,,ambiguous_gene
OG0000001,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_223695933.1,WP_223695933.1,,,ambiguous_gene
OG0000001,orthogroup,GCF_003697165.2,GCF_003697165.2__WP_231528555.1,WP_231528555.1,EAS44_RS00665,EAS44_RS00665,mapped
OG0000002,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416287.1,NP_416287.1,b1773,ydjI,mapped
OG0000002,orthogroup,GCF_000005845.2,GCF_000005845.2__NP_416599.2,NP_416599.2,b2096,gatY,mapped
