alternative_accession,alternative_label,comparison_status,gene_count
GCF_000026225.1,ATCC 35469,alternative_low_callability,3009
GCF_000026225.1,ATCC 35469,both_low_callability,153
GCF_000026225.1,ATCC 35469,comparable,1
GCF_000026225.1,ATCC 35469,many_to_many,11
GCF_000026225.1,ATCC 35469,many_to_one,207
GCF_000026225.1,ATCC 35469,no_ortholog,818
GCF_000026225.1,ATCC 35469,no_protein,361
GCF_000026225.1,ATCC 35469,one_to_many,91
GCF_002900365.1,HT073016,alternative_low_callability,3089
GCF_002900365.1,HT073016,both_low_callability,131
GCF_002900365.1,HT073016,comparable,3
GCF_002900365.1,HT073016,many_to_many,15
GCF_002900365.1,HT073016,many_to_one,162
GCF_002900365.1,HT073016,no_ortholog,859
GCF_002900365.1,HT073016,no_protein,361
GCF_002900365.1,HT073016,one_to_many,31
GCF_003697165.2,DSM 30083 / ATCC 11775,alternative_low_callability,96
GCF_003697165.2,DSM 30083 / ATCC 11775,baseline_low_callability,8
GCF_003697165.2,DSM 30083 / ATCC 11775,both_low_callability,133
GCF_003697165.2,DSM 30083 / ATCC 11775,comparable,3206
GCF_003697165.2,DSM 30083 / ATCC 11775,many_to_many,14
GCF_003697165.2,DSM 30083 / ATCC 11775,many_to_one,195
GCF_003697165.2,DSM 30083 / ATCC 11775,no_ortholog,558
GCF_003697165.2,DSM 30083 / ATCC 11775,no_protein,361
GCF_003697165.2,DSM 30083 / ATCC 11775,one_to_many,80
GCF_005843885.1,E4742,alternative_low_callability,3204
GCF_005843885.1,E4742,both_low_callability,133
GCF_005843885.1,E4742,comparable,9
GCF_005843885.1,E4742,many_to_many,20
GCF_005843885.1,E4742,many_to_one,136
GCF_005843885.1,E4742,no_ortholog,724
GCF_005843885.1,E4742,no_protein,361
GCF_005843885.1,E4742,one_to_many,64
GCF_036503815.1,2017-02-2CC,alternative_low_callability,202
GCF_036503815.1,2017-02-2CC,baseline_low_callability,5
GCF_036503815.1,2017-02-2CC,both_low_callability,148
GCF_036503815.1,2017-02-2CC,comparable,3137
GCF_036503815.1,2017-02-2CC,many_to_many,20
GCF_036503815.1,2017-02-2CC,many_to_one,167
GCF_036503815.1,2017-02-2CC,no_ortholog,525
GCF_036503815.1,2017-02-2CC,no_protein,361
GCF_036503815.1,2017-02-2CC,one_to_many,86
