orthogroup,accession_a,protein_a,gene_a,accession_b,protein_b,gene_b
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_A.1,base_mm_a,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_A.1,alt_mm_a
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_A.1,base_mm_a,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_B.1,alt_mm_b
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_B.1,base_mm_b,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_A.1,alt_mm_a
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_B.1,base_mm_b,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_B.1,alt_mm_b
OG0000001,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE_MANY.1,base_one_many,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_A.1,alt_one_many_a
OG0000001,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE_MANY.1,base_one_many,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_B.1,alt_one_many_b
OG0000002,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_A.1,base_many_a,CTRL_ALT.1,CTRL_ALT.1__ALT_MANY.1,alt_many
OG0000002,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_B.1,base_many_b,CTRL_ALT.1,CTRL_ALT.1__ALT_MANY.1,alt_many
OG0000003,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE.1,base_one,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE.1,alt_one
OG0000004,CTRL_BASE.1,CTRL_BASE.1__BASE_RENAMED.1,base_old_name,CTRL_ALT.1,CTRL_ALT.1__ALT_NEW_NAME.1,alt_new_name
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_A.1,base_mm_a,CTRL_OUT.1,CTRL_OUT.1__OUT_MM.1,out_mm
OG0000000,CTRL_BASE.1,CTRL_BASE.1__BASE_MM_B.1,base_mm_b,CTRL_OUT.1,CTRL_OUT.1__OUT_MM.1,out_mm
OG0000001,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE_MANY.1,base_one_many,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE_MANY.1,out_one_many
OG0000002,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_A.1,base_many_a,CTRL_OUT.1,CTRL_OUT.1__OUT_MANY.1,out_many
OG0000002,CTRL_BASE.1,CTRL_BASE.1__BASE_MANY_B.1,base_many_b,CTRL_OUT.1,CTRL_OUT.1__OUT_MANY.1,out_many
OG0000003,CTRL_BASE.1,CTRL_BASE.1__BASE_ONE.1,base_one,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE.1,out_one
OG0000004,CTRL_BASE.1,CTRL_BASE.1__BASE_RENAMED.1,base_old_name,CTRL_OUT.1,CTRL_OUT.1__OUT_RENAMED.1,out_renamed
OG0000005,CTRL_BASE.1,CTRL_BASE.1__BASE_MISSING_A.1,base_missing_a,CTRL_OUT.1,CTRL_OUT.1__OUT_MISSING.1,out_missing
OG0000005,CTRL_BASE.1,CTRL_BASE.1__BASE_MISSING_B.1,base_missing_b,CTRL_OUT.1,CTRL_OUT.1__OUT_MISSING.1,out_missing
OG0000000,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_A.1,alt_mm_a,CTRL_OUT.1,CTRL_OUT.1__OUT_MM.1,out_mm
OG0000000,CTRL_ALT.1,CTRL_ALT.1__ALT_MM_B.1,alt_mm_b,CTRL_OUT.1,CTRL_OUT.1__OUT_MM.1,out_mm
OG0000001,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_A.1,alt_one_many_a,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE_MANY.1,out_one_many
OG0000001,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE_MANY_B.1,alt_one_many_b,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE_MANY.1,out_one_many
OG0000002,CTRL_ALT.1,CTRL_ALT.1__ALT_MANY.1,alt_many,CTRL_OUT.1,CTRL_OUT.1__OUT_MANY.1,out_many
OG0000003,CTRL_ALT.1,CTRL_ALT.1__ALT_ONE.1,alt_one,CTRL_OUT.1,CTRL_OUT.1__OUT_ONE.1,out_one
OG0000004,CTRL_ALT.1,CTRL_ALT.1__ALT_NEW_NAME.1,alt_new_name,CTRL_OUT.1,CTRL_OUT.1__OUT_RENAMED.1,out_renamed
